0,1,2,3,4,5
tt0160710,Patrik-Ian Polk,Patrik-Ian Polk,6.9,1h 31min,"The tale of 4 gay African-American friends in L.A: shy, virginal photographer Marcus, outgoing Lothario Hill, hot-to-trot rich kid newbie Dante, and fabulous drag diva Crystal."
tt0160547,Michael Browning,Michael Browning,4.9,1h 32min,"A series of mishaps and misfortunes over $1 million in cash leads to murder, mayhem and greed."
tt0160403,Stephen Kessler,"Mike Wilkins, Stephen Kessler",5.9,1h 21min,A notorious B-movie director tries for a comeback by seeking out the film rights to the life story of a serial killer who wants his biography film to be a musical.
tt0159291,"Philip Charles Mac, Kenzie",Nestor Carbonell,4.8,1h 27min,"A famous Latin actor loses his wife and job but hopes he can still ride on his sitcom fame. However, when he appears at the grand opening of a Kmart, his dreams are dashed when most of his fans are stolen by a maniacal upstart pretty-boy."
tt0160182,Bill Fishman,"Nicole Coady, Halle Eaton, Abbe Wool",4.0,1h 34min,"Lily is a twenty-something aspiring writer who receives an invitation to attend a wedding reception with Jonathan, a handsome entomologist who also happens to be the man of her dreams. The only problem is that she's in San Francisco and the wedding is in L.A. Lily is therefore forced to enlist the aid of her friend Frances, an unrepentant party girl who has the L.A. n... Leer todo"
tt0160127,"Mc, G","Ryan Rowe, Ed Solomon, John August",5.6,1h 38min,
tt0160447,Ralph E. Portillo,"Paul Chilsen, Heath Mc, Laughlin, Jim Kreutzer",4.7,1h 29min,"A kid, his new friend who's a girl, his grandmother and their old neighbor who used to work as a driver for a gangster, search for the treasure supposedly hidden nearby by the gangster long time ago, to help the neighbor keep his house."
tt0160611,Thaddeus O'Sullivan,Gerard Stembridge,6.3,1h 33min,
tt0160607,Christina Post,Christina Post,7.6,2000,"GABBY retreats to her New Jersey hometown. It's not what she expected. Her frustrated friends, frenzied family and new love aren't quite the stress-release she was looking for."
tt0163141,Michel Spinosa,Michel Spinosa,5.9,1h 28min,"Summer 1969 on the Mediterranean coast. Paul and Vincent are childhood buddies. On a beach one day, they meet Alice and her friend Eve. After a series of memorable adventures, couples fall into place but not quite in the right order. Alice blossoms elsewhere, Paul marries Eve and Vincent weds Marie. The 70s are in full swing. Thanks to the pill, women's lives change r... Leer todo"
tt0162983,Diane Keaton,"Delia Ephron, Nora Ephron",4.8,1h 34min,
tt0163125,Jon Dichter,Jon Dichter,5.3,1h 42min,"A telephone operator takes revenge an a rude customer by ruining his credit rating, his reputation, and his marriage."
