0,1,2,3,4,5
tt0146309,Roger Donaldson,"David Self, Ernest R. May, Philip D. Zelikow",7.3,2h 25min,
tt0146882,Stephen Frears,"Nick Hornby, D.V. De, Vincentis, Steve Pink",7.4,1h 53min,
tt0146984,Robert Redford,"Steven Pressfield, Jeremy Leven",6.7,2h 6min,
tt0148421,Martin Davidson,"Jeffrey Goldenberg, Robert Held, Martin Davidson",6.6,1h 37min,The lead singer of an oldies group reminisces about the good ol' days and a potential comeback.
tt0149624,Billy Bob Thornton,"Cormac Mc, Carthy, Ted Tally",5.8,1h 56min,
tt0149367,Marek Kanievska,"E. Max Frye, Topper Lilien, Carroll Cartwright",6.3,1h 29min,
tt0151150,Mansoor Khan,"Aatish Kapadia, Mansoor Khan, Nidhi Tuli",6.1,2h 42min,"Max, who lives with his twin sister Shirley in Goa, is enraged when he finds out that she has fallen in love with Rahul, his bitter rival Prakash's younger brother."
tt0153012,L.P. Brown IIIJohn Sjogren,L.P. Brown III,4.0,1h 24min,Jack (an ex P.I.) steals a briefcase from local mobsters. A stripper joins him on the run. Other local mob groups are also interested in the contents of the briefcase.
tt0153100,Francis Delia,"Francis Delia, Norman Mailer",7.2,1h 33min,"A thirty-something Irish-American former matador teaches a bull-fighting class in Greenwich Village. After the sexual conquest of a number of his female students, he meets his match in a 19-year-old co-ed."
tt0153464,Philip Haas,"W. Somerset Maugham, Belinda Haas",6.0,1h 55min,"A widow finds choosing a new husband might not be her choice at all, as the actions of her various prospects confine her freedom."
tt0155723,Katherine Dieckmann,"Katherine Dieckmann, Leon Rooke",6.8,1h 27min,"A young loner wandering the back roads of North Carolina comes across an abandoned baby. He immediately starts seeking the baby's parents, but starts developing a bond with the child that explores his own isolated roots."
tt0155754,Bob Clark,Mark Sanderson,6.3,1h 30min,
tt0155150,Adele Bertei,James Campbell,4.8,1h 39min,"After a rich woman dies, her friends and relatives meet at her mansion to await the reading of her will. Over the evening, many of them hook up and have a passionate night together, including the maid. But someone's watching them."
tt0157202,Glenn Klinker,Glenn Klinker,4.8,1h 30min,"A deranged street person has flashes of sanity, and his outrage at, and disgust for, the nightly news body count inspires him to vanquish not only his inner demons, but also the very real ones that are preying, unchecked upon the innocent."
tt0156841,John Schlesinger,Tom Ropelewski,4.7,1h 48min,
tt0156942,Ron Krauss,"Oona Croese, Ron Krauss, Mario Zavala",5.4,1h 25min,Kids go to a rave and not all of them make it home the next day.
tt0156812,Jay Russell,"Willie Morris, Gail Gilchriest",7.0,1h 35min,
tt0156757,John Forte,John Forte,5.9,1h 32min,A Catholic high-school student trying to perfect his soccer timing by practicing dance falls in love with his dance partner.
tt0157122,Liv Ullmann,Ingmar Bergman,7.4,2h 34min,
tt0158033,Pat Murphy,"Brenda Maddox, Pat Murphy, Gerard Stembridge",5.9,1h 46min,"Dublin, 1904, James Joyce chats up Nora Barnacle, a hotel maid recently come from Galway. She enchants him with her frank, uninhibited manner, and before long, he's convinced her to come with him to Trieste."
tt0159371,Christopher Robin Hood,Christopher Robin Hood,7.3,1h 30min,"Rob's successful life is interrupted when he crosses paths with smart beautiful Leslie. After being suddenly and mistakenly arrested, Rob begins a city-wide search for the woman of his dreams unsure of her last name or where to find her."
tt0158871,Aage Rais-Nordentoft,"Jens Dahl, Aage Rais-Nordentoft",5.5,1h 33min,"A Sergeant in the UN peacekeeping force in Bosnia charges money to take some gun toting civilians on a guided tour to shoot some real Serbs 'for the excitement of it'. Fatal events unfold, revealing the starkness of war and armed strife."
tt0160495,Paul Nicholas,Brendan Beseth,4.7,1h 41min,"Kirsten Dunst plays a young woman (Lidda), who is searching for her father (James Caan). She finds herself at odds with her boyfriend who wants nothing but a carefree lifestyle."
tt0160547,Michael Browning,Michael Browning,4.9,1h 32min,"A series of mishaps and misfortunes over $1 million in cash leads to murder, mayhem and greed."
tt0160550,Aleksandr Zeldovich,"Vladimir Sorokin, Aleksandr Zeldovich",6.3,2h 19min,"The film centres on Mike, a businessman in decidedly the new Russian mould. When Mike gets stung on a deal, his suspicions immediately fall on Lev, who receives the customary torture to make him reveal where the money has gone."
tt0160663,Martin Schenk,Martin Schenk,5.5,1h 28min,Four teenagers pull a prank that goes awry.
tt0160644,Alain Berliner,"Ron Bass, David Field",5.5,1h 45min,A psychological romantic thriller where fantasy and reality become indistinguishable for a woman leading a double life in her dreams.
tt0160289,Paul Rachman,"Shawn David Thompson, William Quist",5.5,1h 37min,"Four friends steal a valuable statuette for a dangerous black market art dealer, lose it, and are forced to play a deadly bluffing game to save their lives."
tt0159784,Joe Chappelle,"Tsutomu Shimomura, John Markoff, David Newman",6.2,1h 32min,
tt0161216,Robert Greenwald,"Anita Hoffman, Abbie Hoffman, Marty Jezer",6.4,1h 46min,
tt0160759,António Ferreira,António Ferreira,6.6,45min,"What stops two people from being together? A third one. What stops one person from fighting for another? Nothing. Pedro lives in the suburbs, where he works with his father in a garage. Everyday he takes the bus downtown where he goes to school and meets his friends. It's summertime and they all go down to the river where they spend their free time or even their schoo... Leer todo"
tt0160484,Janusz Kaminski,"Pierce Gardner, Betsy Stahl",4.8,1h 37min,
tt0160797,William Friedkin,"Jim Webb, Stephen Gaghan",6.4,2h 8min,
tt0160749,Tag Purvis,Tag Purvis,6.1,1h 50min,"Red Dirt offers the story of a young man's search to belong in this sublime expression of love and reconciliation. At only twenty, Griffith is struggling with the responsibilities of caring for his unwell aunt, grieving the loss of their family's matriarch, and his own dreams of leaving Pine Apple. With the arrival of a stranger, Griffith's carefully constructed walls... Leer todo"
tt0161003,Rel Dowdell,Rel Dowdell,5.1,1h 33min,What started out as an innocent night of fun and games with upperclassmen and younger freshman college women turns into lies betrayal and an ultimate journey on the train ride
tt0160616,"Dan Mc, Cormack","Dan Mc, Cormack",5.7,1h 44min,"This stylized turn-of-the-millennium thriller follows troubled couple Phil and Anna, each suspecting the other of infidelity, as they try to keep their paranoia and distrust from further fracturing the strange world around them."
tt0162222,Robert Zemeckis,William Broyles Jr.,7.8,2h 23min,
tt0161081,Robert Zemeckis,"Clark Gregg, Sarah Kernochan",6.6,2h 10min,
tt0162983,Diane Keaton,"Delia Ephron, Nora Ephron",4.8,1h 34min,
tt0163125,Jon Dichter,Jon Dichter,5.3,1h 42min,"A telephone operator takes revenge an a rude customer by ruining his credit rating, his reputation, and his marriage."
tt0162901,Mariano Barroso,"Mariano Barroso, Luis Marías, Joaquín Notario",5.8,1h 35min,
tt0164182,Stephen Erickson,Stephen Erickson,8.3,1h 35min,"A heart-hardened son returns home to keep a promise to his dying father, a master stonecutter. This story touches a universal chord as it explores the passing on of an artistic legacy in spite of the dark shadows of an unresolved past."
tt0164212,Stephen Hopkins,"John Wainwright, Claude Miller, Jean Herman",6.4,1h 50min,
tt0163983,Chuck Russell,"Cathy Cash Spellman, Thomas Rickman, Clifford Green",5.1,1h 47min,
tt0163676,Mary Lambert,"Mark Gibson, Philip Halprin",4.6,1h 45min,"A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader, who harbors some dark secrets too terrifying to tell."
tt0163978,Danny Boyle,"John Hodge, Alex Garland",6.6,1h 59min,
tt0163745,Gene Cajayon,"Gene Cajayon, John Manal Castro",6.4,1h 34min,A young man struggles with his desire to study art when his family thinks he's headed for premedical studies. Conflicts between Filipino traditions and expectations vs. personal dreams in the contemporary world erupt at his sister's debut.
tt0164318,Martin Spottl,"Sigal Erez, Martin Spottl",5.5,1h 39min,A small-town sheriff falls in love with a Latina illegal immigrant who witnessed a murder on the Texas border.
tt0164545,William R. Greenblatt,Andrew Stein,3.7,1h 29min,"After his wife is killed researching a deadly virus, a doctor, out of anger and guilt, infects himself with the virus and threatens the world."
tt0165642,Rafael Eisenman,"Zalman King, Elise D'Haene",3.2,1h 25min,"Gabe, a photographer, his assistant, Annie, and his boss hire a ship to take them out to sea on a modeling shoot. What Gabe doesn't know is that an old friend-turned-enemy of his has indirectly lured him into the situation, and the models that were hired locally are skilled weapons handlers and dealers. The ship is on its way to meet a South African submarine to whom ... Leer todo"
tt0166013,John Mackenzie,"Guy Andrews, Ronan Gallagher, Colum Mc, Cann",6.4,1h 47min,"Irish crime-investigating reporter Sinead Hamilton invades the Irish underworld and attempts to expose the illegitimate activities that she has found. Hampered by the system, a police consort is ineffectual at aiding her despite trying to step outside of the normal bounds. Her husband, who hates her activities and the danger she places herself in, grudgingly admires h... Leer todo"
tt0165800,Cameron Thor,"Tiffany Salerno, Tim Puntillo",3.9,1h 29min,"Nine former schoolmates are invited to a cabin for a reunion, but their hostess commits suicide. They all try to figure out why."
