primaryName,birthYear,deathYear,primaryProfession,knownForTitles
Wesley Snipes,1962,\N,"actor,producer,soundtrack","tt0105812,tt0102526,tt0120611,tt0106697"
Donald Sutherland,1935,\N,"actor,soundtrack,producer","tt0067309,tt1951265,tt1951264,tt0414387"
Maury Chaykin,1949,2010,"actor,miscellaneous,assistant_director","tt0086567,tt0099348,tt0104952,tt0119715"
Anne Archer,1947,\N,"actress,producer,soundtrack","tt0108122,tt0105112,tt0093010,tt0160009"
Cameron Diaz,1972,\N,"actress,producer,soundtrack","tt0119738,tt0129387,tt0160127,tt0259711"
Drew Barrymore,1975,\N,"producer,actress,soundtrack","tt0160127,tt0343660,tt0120631,tt0151738"
Lucy Liu,1968,\N,"actress,director,producer","tt0266697,tt0305357,tt0160127,tt0299658"
Bill Murray,1950,\N,"actor,soundtrack,writer","tt0128445,tt0335266,tt1748122,tt0362270"
Samuel L. Jackson,1948,\N,"actor,producer,soundtrack","tt3460252,tt0110912,tt0417148,tt4154664"
Vanessa Williams,1963,\N,"actress,soundtrack,producer","tt0116213,tt0410975,tt0805669,tt0162650"
Christian Bale,1974,\N,"actor,producer,soundtrack","tt0372784,tt0144084,tt0964517,tt0468569"
Jeffrey Wright,1965,\N,"actor,producer,soundtrack","tt1877830,tt8847712,tt0412019,tt23561236"
Kevin Bacon,1958,\N,"actor,producer,soundtrack","tt0327056,tt0164052,tt0087277,tt0361127"
Elisabeth Shue,1963,\N,"actress,producer,soundtrack","tt0113627,tt0164052,tt0092513,tt0120053"
Josh Brolin,1968,\N,"actor,producer,director","tt0477348,tt1791528,tt4154756,tt4154796"
Kim Dickens,1965,\N,actress,"tt0427944,tt2267998,tt0164052,tt0348914"
Timothy Bottoms,1951,\N,"actor,producer","tt0067277,tt0067328,tt0070509,tt0363589"
Anthony Addabbo,1960,2016,"actor,writer","tt0103522,tt0044265,tt0065272,tt0112112"
Jacqueline Lovell,1974,\N,"actress,miscellaneous,writer","tt6840146,tt6466646,tt6388220,tt0300745"
Brion James,1945,1999,"actor,producer","tt0083658,tt0099044,tt0108238,tt0119116"
Richard Norton,1950,\N,"actor,stunts,producer","tt1392190,tt8874764,tt1245679,tt0103950"
Hannes Jaenicke,1960,\N,"actor,producer,writer","tt0135106,tt0144714,tt0297162,tt0119472"
Miranda Wolfe,\N,\N,actress,"tt0127398,tt0165400,tt0120247,tt0117738"
Christopher Kriesa,1947,\N,"actor,script_department,writer","tt1655389,tt5708060,tt0162222,tt0243133"
Jet Li,1963,\N,"actor,producer,miscellaneous","tt0267804,tt0446059,tt0913968,tt0271027"
Aaliyah,1979,2001,"music_artist,soundtrack,actress","tt0165929,tt0118998,tt0238546,tt0118617"
Isaiah Washington,1963,\N,"actor,producer,soundtrack","tt0288477,tt0165929,tt0329717,tt0413573"
Russell Wong,1963,\N,"actor,producer","tt0378918,tt0102526,tt0165929,tt0859163"
Patrick Muldoon,1968,\N,"actor,producer,soundtrack","tt9139586,tt11196036,tt0103491,tt0120201"
Cathy Moriarty,1960,\N,"actress,soundtrack","tt0289848,tt0081398,tt0102951,tt1038919"
Tim Thomerson,1946,\N,"actor,producer,miscellaneous","tt0090192,tt0090274,tt0093605,tt0086508"
Fred Ward,1942,2022,"actor,soundtrack,producer","tt0086197,tt0115857,tt0108122,tt0100814"
Chrissy Mountjoy,\N,\N,"actress,writer","tt1376247,tt0274427,tt3494736,tt0168714"
Glori-Anne Gilbert,1969,\N,"actress,camera_department,make_up_department","tt0385622,tt0382443,tt0346811,tt6650372"
Savannah Powers,\N,\N,actress,tt0168714
Melissa Wolf,1964,\N,actress,"tt1231596,tt0168714,tt3582068,tt0764234"
Eric Davis,\N,\N,actor,tt0168714
Tylo Duran,1972,\N,actress,"tt5238754,tt5028636,tt10154962,tt0168714"
Dana Leigh,\N,\N,actress,tt0168714
Scott Wiper,1970,\N,"writer,director,actor","tt0443473,tt0213149,tt9441638,tt1366365"
Jack Conley,\N,\N,actor,"tt2975578,tt0181865,tt1013752,tt0436339"
Carmen Argenziano,1943,2019,"actor,producer","tt0086383,tt0094608,tt0115759,tt0309698"
Richard Haje,\N,\N,actor,"tt0112022,tt0119215,tt0201694,tt0266465"
Kathleen Turner,1954,\N,"actress,soundtrack,producer","tt0088011,tt0111127,tt0091738,tt0082089"
Danny Aiello,1933,2019,"actor,producer,soundtrack","tt0102070,tt0093565,tt0110413,tt0097216"
Cathy Moriarty,1960,\N,"actress,soundtrack","tt0289848,tt0081398,tt0102951,tt1038919"
Frankie Nasso,1984,\N,"producer,director,actor","tt0170452,tt0119214,tt1787797"
Russell Crowe,1964,\N,"actor,soundtrack,producer","tt0119488,tt0172495,tt1707386,tt0268978"
Joaquin Phoenix,1974,\N,"actor,producer,writer","tt1560747,tt0172495,tt0358273,tt1798709"
Connie Nielsen,1965,\N,"actress,producer,writer","tt0264395,tt0451279,tt0265459,tt0172495"
Oliver Reed,1938,1999,"actor,soundtrack","tt0172495,tt0078908,tt0063385,tt0080658"
Alberto Tomba,1966,\N,actor,"tt0494914,tt1410391,tt0420400,tt0172109"
Michelle Hunziker,1977,\N,actress,"tt0167351,tt0816405,tt0172109,tt0264365"
Orso Maria Guerrini,1942,\N,"actor,miscellaneous","tt0065571,tt0074740,tt0119013,tt0258463"
Corinne Cléry,1950,\N,actress,"tt0080058,tt0084935,tt0079574,tt0073115"
Richard Thomas,1951,\N,"actor,director,producer","tt0080421,tt0099864,tt0185014,tt0068149"
Maureen McCormick,1956,\N,"actress,soundtrack,producer","tt6918654,tt0075485,tt0063878,tt0118487"
C. Thomas Howell,1966,\N,"actor,producer,director","tt0091209,tt0087985,tt0083866,tt0086066"
Corey Feldman,\N,\N,"actor,producer,soundtrack","tt0093437,tt0092005,tt0089218,tt0096734"
Gary Daniels,1963,\N,"actor,producer,stunts","tt1320253,tt0411951,tt0113074,tt6156656"
Mike Norris,1962,\N,"actor,stunts,director","tt0198021,tt0293564,tt6856396,tt0312450"
Bentley Mitchum,1967,\N,"actor,writer,director","tt20115710,tt0115614,tt0102388,tt1407072"
