,0,1,2,3,4,5
107,tt0203166,comedy,Tillsammans,movie,2001,4.0
108,tt0204640,comedy,Sordid Lives,movie,2001,5.0
109,tt0204946,comedy,Bring It On,movie,2001,9.0
110,tt0205177,comedy,Kevin & Perry Go Large,movie,2000,4.0
111,tt0205391,comedy,A Sense of Entitlement,movie,2000,3.0
112,tt0205521,comedy,What's Eating You?,movie,2000,11.0
113,tt0206395,comedy,Vinnie and Angela's Beauty Salon and Funeral Parlor,movie,2000,4.0
114,tt0206382,comedy,Massholes,movie,2000,9.0
115,tt0206608,comedy,Abschied - Brechts letzter Sommer,movie,2000,9.0
116,tt0208376,comedy,Family Jewels,movie,2003,2.0
117,tt0207161,comedy,Time Share,movie,2000,6.0
118,tt0208050,comedy,Chump Change,movie,2004,1.0
119,tt0206093,comedy,La lingua del santo,movie,2000,9.0
120,tt0206087,comedy,Liberate i pesci!,movie,2000,1.0
121,tt0206351,comedy,Tobia al caffè,movie,2000,10.0
122,tt0208196,comedy,Happy Accidents,movie,2001,9.0
123,tt0208026,comedy,C'era un cinese in coma,movie,2000,3.0
124,tt0208993,comedy,Downtown 81,movie,2001,3.0
125,tt0209322,comedy,Skipped Parts,movie,2001,12.0
126,tt0210633,comedy,The Dancing Cow,short,2000,2.0
127,tt0210943,comedy,Relative Values,movie,2000,6.0
128,tt0209106,comedy,Little Go Beep,short,2001,7.0
129,tt0210567,comedy,Beautiful,movie,2000,9.0
130,tt0211103,comedy,La vie après l'amour,movie,2000,7.0
131,tt0211200,comedy,Anna,movie,X,
132,tt0211661,comedy,Terror Tract,movie,2001,6.0
133,tt0212815,comedy,Big Eden,movie,2000,4.0
134,tt0213295,comedy,Twitch,short,2004,9.0
135,tt0213127,comedy,Obstacles,movie,X,
136,tt0212346,comedy,Miss Congeniality,movie,2001,3.0
137,tt0211938,comedy,Bait,movie,2000,9.0
138,tt0213587,comedy,Damned If You Do,short,2000,10.0
139,tt0213996,comedy,Pere,movie,2000,3.0
140,tt0213790,comedy,The Ladies Man,movie,2000,10.0
141,tt0214065,comedy,The Rules of Engagement,short,2000,6.0
142,tt0214646,comedy,Dropping Out,movie,2000,1.0
143,tt0215232,comedy,Table One,movie,2000,4.0
144,tt0215129,comedy,Road Trip,movie,2000,9.0
145,tt0215880,comedy,Jubilee,movie,2000,4.0
146,tt0215596,comedy,Carmelo y yo,movie,X,
147,tt0215972,comedy,The Martini Shot,movie,2000,12.0
148,tt0215545,comedy,Bamboozled,movie,2001,8.0
149,tt0215458,comedy,...und das ist erst der Anfang,movie,2000,7.0
150,tt0216105,comedy,Postmark Paradise,movie,2000,3.0
151,tt0216587,comedy,Le conte du ventre plein,movie,2000,6.0
152,tt0216890,comedy,Amazone,movie,2000,7.0
153,tt0216523,comedy,30 ans,movie,2000,7.0
154,tt0216590,comedy,La bostella,movie,2000,6.0
155,tt0218138,comedy,Dead Babies,movie,2000,9.0
156,tt0217788,comedy,Secret Society,movie,2001,12.0
157,tt0218182,comedy,An Everlasting Piece,movie,2001,3.0
158,tt0217168,comedy,Ça ira mieux demain,movie,2000,11.0
159,tt0217116,comedy,La vache et le président,movie,2000,6.0
160,tt0216983,comedy,Le prof,movie,2000,4.0
161,tt0217629,comedy,Looking for Alibrandi,movie,2000,5.0
162,tt0218112,comedy,The Closer You Get,movie,2000,9.0
163,tt0216787,comedy,Le goût des autres,movie,2001,3.0
164,tt0219288,comedy,Samotári,movie,2000,4.0
165,tt0219277,comedy,Robot Love,short,X,
166,tt0218426,comedy,Marine Life,movie,2000,9.0
167,tt0216930,comedy,My 5 Wives,movie,2000,9.0
168,tt0216841,comedy,Jet Set,movie,2000,6.0
169,tt0218298,comedy,Get Your Stuff,movie,2000,6.0
170,tt0216911,comedy,Meilleur espoir féminin,movie,2000,5.0
171,tt0219210,comedy,The Night Larry Kramer Kissed Me,movie,2000,4.0
172,tt0219156,comedy,Maggie Moore,short,X,
173,tt0218839,comedy,Best in Show,movie,2000,10.0
174,tt0219952,comedy,Lucky Numbers,movie,2000,10.0
175,tt0220296,comedy,Above the Dust Level,short,2000,4.0
176,tt0220099,comedy,The Tigger Movie,movie,2000,6.0
177,tt0221197,comedy,G-Men from Hell,movie,2000,12.0
178,tt0220064,comedy,Spoof! An Insider's Guide to Short Film Success,short,X,
179,tt0221711,comedy,The Window,short,2000,2.0
180,tt0220575,comedy,In God We Trust,short,2000,1.0
181,tt0221691,comedy,Walk the Talk,movie,2001,3.0
182,tt0221823,comedy,Bel Air,movie,2000,3.0
183,tt0221352,comedy,Little Sister,short,X,
184,tt0222270,comedy,Phir Bhi Dil Hai Hindustani,movie,2000,1.0
185,tt0224394,comedy,The Widower,movie,2000,10.0
186,tt0222492,comedy,What You Lookin' at,short,X,
187,tt0224451,comedy,21,movie,2000,8.0
188,tt0223490,comedy,Hur som helst är han jävligt död,movie,2000,9.0
189,tt0225410,comedy,Le coeur à l'ouvrage,movie,2000,7.0
190,tt0226137,comedy,Mi Famosa Desconocida,movie,2000,5.0
191,tt0226488,comedy,Still Doing the Safety Dance,movie,X,
192,tt0227131,comedy,Night Deposit,short,2000,4.0
193,tt0226708,comedy,Épouse-moi,movie,2000,1.0
194,tt0228214,comedy,Dexter Dickie,movie,X,
195,tt0228687,comedy,Otesánek,movie,2001,1.0
196,tt0228239,comedy,3 Chinesen mit dem Kontrabass,movie,2000,3.0
197,tt0229022,comedy,Vive nous!,movie,2000,1.0
198,tt0230041,comedy,Bit Players,short,2000,8.0
199,tt0035423,comedy,Kate & Leopold,movie,2002,2.0
200,tt0118578,comedy,Albela,movie,2001,4.0
201,tt0118652,comedy,Horror in the Attic,movie,2001,4.0
202,tt0124889,comedy,Sticks,movie,2001,3.0
203,tt0126029,comedy,Shrek,movie,2001,7.0
204,tt0141907,comedy,Town & Country,movie,2001,4.0
205,tt0150021,comedy,Camouflage,movie,2005,3.0
206,tt0161102,comedy,Working Stiff,movie,2001,8.0
207,tt0160343,comedy,Mike & Bill,short,2001,5.0
208,tt0161083,comedy,What's the Worst That Could Happen?,movie,2001,6.0
209,tt0162203,comedy,Blue Shark Hash,movie,2001,
210,tt0163764,comedy,Net Worth,movie,2000,
211,tt0165452,comedy,The Rules (For Men),movie,2001,6.0
212,tt0166158,comedy,Daddy and Them,movie,2002,6.0
213,tt0166709,comedy,Memórias Póstumas de Brás Cubas,movie,2001,8.0
214,tt0170008,comedy,Hollywood Palms,movie,2001,
215,tt0170367,comedy,Peroxide Passion,movie,2008,7.0
216,tt0172995,comedy,Play Dead,movie,2001,1.0
