,0,1,2,3,4,5
121,tt0197299,drama,Black Sea Raid,movie,2000,5
122,tt0198021,drama,Where the Heart Is,movie,2000,11
123,tt0198284,drama,After Sex,movie,2011,1
124,tt0199000,drama,Gripsholm,movie,2000,11
125,tt0199129,drama,The Visit,movie,2001,4
126,tt0199650,drama,Jill Rips,movie,2000,2
127,tt0200530,drama,Chuck & Buck,movie,2000,8
128,tt0199748,drama,Manhattan Chase,movie,2000,11
129,tt0200171,drama,Stanley's Gig,movie,2000,6
130,tt0199744,drama,Mambo Café,movie,2000,4
131,tt0200472,drama,Beautiful Joe,movie,2001,6
132,tt0199700,drama,Lakeuden kutsu,movie,2000,1
133,tt0199504,drama,The Exchange,movie,X,
134,tt0202592,drama,Soul Cages,short,2000,10
135,tt0200720,drama,The House of Mirth,movie,2001,5
136,tt0200669,drama,The Golden Bowl,movie,2001,1
137,tt0202402,drama,Whatever It Takes,movie,2000,3
138,tt0202236,drama,Tribulation,movie,2000,1
139,tt0202502,drama,No More Monkeys Jumpin' on the Bed,movie,2000,9
140,tt0203835,drama,The Alternate,movie,2000,4
141,tt0203580,drama,Illicit Lovers,movie,2000,4
142,tt0201919,drama,Shadows,short,2000,3
143,tt0202711,drama,Swimming,movie,2000,3
144,tt0203540,drama,Greenfingers,movie,2001,9
145,tt0204315,drama,Faites comme si je n'étais pas là,movie,2001,1
146,tt0204175,drama,Boys and Girls,movie,2000,6
147,tt0204932,drama,Den bästa sommaren,movie,2001,10
148,tt0205408,drama,Short,short,2000,10
149,tt0205836,drama,Tutto l'amore che c'è,movie,2000,3
150,tt0203119,drama,Sexy Beast,movie,2001,10
151,tt0203019,drama,Men of Honor,movie,2001,5
152,tt0203144,drama,Something Sweet,movie,2000,10
153,tt0204761,drama,La fidélité,movie,2000,4
154,tt0205096,drama,The Good Doctor,short,X,
155,tt0205027,drama,Dubbel-8,movie,2000,11
156,tt0204933,drama,Camera Obscura,movie,2000,1
157,tt0205391,drama,A Sense of Entitlement,movie,2000,3
158,tt0206324,drama,The Summer of the Kavalcutes,movie,X,
159,tt0206917,drama,The Man Who Cried,movie,2000,12
160,tt0207271,drama,Sirens of the Deep,movie,X,
161,tt0207130,drama,Sulla spiaggia e di là dal molo,movie,2000,4
162,tt0208376,drama,Family Jewels,movie,2003,2
163,tt0208032,drama,Canone inverso - Making Love,movie,2000,2
164,tt0207163,drama,Tolerância,movie,2000,10
165,tt0207524,drama,How to Kill Your Neighbor's Dog,movie,2003,3
166,tt0206200,drama,Il partigiano Johnny,movie,2000,11
167,tt0208988,drama,Get Carter,movie,2001,9
168,tt0207745,drama,"A Girl, Three Guys, and a Gun",movie,2000,3
169,tt0208037,drama,The Chaos Factor,movie,2000,6
170,tt0208993,drama,Downtown 81,movie,2001,3
171,tt0208883,drama,Desire,movie,2000,9
172,tt0208874,drama,The Contender,movie,2001,9
173,tt0210357,drama,The Testimony of Taliesin Jones,movie,2000,10
174,tt0210149,drama,Lakeboat,movie,2001,6
175,tt0210890,drama,"Paris, mon petit corps est bien las de ce grand monde",movie,2000,6
176,tt0210130,drama,"Jails, Hospitals & Hip-Hop",movie,2000,5
177,tt0210884,drama,Papa's Song,movie,2000,5
178,tt0210945,drama,Remember the Titans,movie,2001,3
179,tt0211036,drama,The Third Lie,short,X,
180,tt0209037,drama,Iedereen beroemd!,movie,2000,11
181,tt0210217,drama,Pandaemonium,movie,2001,4
182,tt0210567,drama,Beautiful,movie,2000,9
183,tt0210299,drama,Songcatcher,movie,2001,7
184,tt0210480,drama,Ainsi soit-il,movie,2000,3
185,tt0211554,drama,Love me,movie,2001,8
186,tt0211427,drama,In Loving Memory,movie,X,
187,tt0211721,drama,"Vera, nadezhda, krov'",movie,X,
188,tt0212974,drama,Groove,movie,2000,10
189,tt0212815,drama,Big Eden,movie,2000,4
190,tt0213677,drama,Ghaath,movie,2000,12
191,tt0213231,drama,Seducing Maarya,movie,2000,6
192,tt0211718,drama,Vengo,movie,2000,12
193,tt0213890,drama,Mohabbatein,movie,2000,10
194,tt0212215,drama,Her i nærheden,movie,2000,1
195,tt0212667,drama,An Intimate Friendship,movie,X,
196,tt0212059,drama,The Clean and Narrow,movie,2000,1
197,tt0113545,drama,The Killing Seasons,short,2001,
198,tt0119004,drama,Don's Plum,movie,2003,6
199,tt0120624,drama,Camarate,movie,2001,5
200,tt0120807,drama,Ricochet River,movie,2001,10
201,tt0120737,drama,The Lord of the Rings: The Fellowship of the Ring,movie,2001,12
202,tt0132245,drama,Driven,movie,2001,8
203,tt0139654,drama,Training Day,movie,2002,1
204,tt0151685,drama,My Father's Love,movie,2010,10
205,tt0157583,drama,Enigma,movie,2002,1
206,tt0159378,drama,The Demo Crew,movie,2001,6
207,tt0160275,drama,Final Solution,movie,2001,11
208,tt0160816,drama,The Scar,movie,2001,2
209,tt0162346,drama,Ghost World,movie,2002,2
210,tt0161860,drama,Africa I Love You,movie,2003,4
211,tt0163596,drama,Dark Water,movie,2001,8
212,tt0165713,drama,The Distinct Smell of Red,movie,2001,10
213,tt0166158,drama,Daddy and Them,movie,2002,6
214,tt0167360,drama,Race to Space,movie,2002,3
215,tt0166924,drama,Mulholland Drive,movie,2002,2
216,tt0170260,drama,Morgan's Ferry,movie,2001,11
217,tt0178642,drama,The Invisible Circus,movie,2001,2
218,tt0179844,drama,"Hemingway, the Hunter of Death",movie,2001,1
219,tt0179435,drama,The Proposal,movie,2002,4
220,tt0180894,drama,Odmazda,movie,2001,6
221,tt0181796,drama,Rubbernecking,movie,2001,4
222,tt0182000,drama,The Caveman's Valentine,movie,2001,9
223,tt0184791,drama,O,movie,2001,8
224,tt0187862,drama,The Gift of the Magi,short,2001,
225,tt0188024,drama,Last Days,movie,2001,
226,tt0189541,drama,Gabriela,movie,2001,5
227,tt0192237,drama,Leo und Claire,movie,2002,4
228,tt0193365,drama,Orphan,movie,2001,3
229,tt0196068,drama,Sam the Man,movie,2001,2
230,tt0195654,drama,La donna antilope,movie,X,
231,tt0196069,drama,Samsara,movie,2002,10
232,tt0200483,drama,Between the Moon and Montevideo,movie,2001,5
233,tt0200027,drama,Riding in Cars with Boys,movie,2001,10
234,tt0200422,drama,All Forgotten,movie,2001,9
235,tt0201020,drama,The Rising Place,movie,2001,2
236,tt0201694,drama,Longshot,movie,2001,10
237,tt0203975,drama,Tart,movie,2001,6
238,tt0203009,drama,Moulin Rouge!,movie,2001,9
239,tt0202294,drama,Childhood,movie,2001,8
240,tt0204700,drama,Trouble Every Day,movie,2001,7
241,tt0206275,drama,Save the Last Dance,movie,2001,4
242,tt0206963,drama,My First Mister,movie,2001,10
243,tt0206211,drama,A Pocket Full of Dreams,movie,2001,9
244,tt0206367,drama,The Trumpet of the Swan,movie,2001,6
245,tt0207585,drama,Lloyd,movie,2001,5
246,tt0208899,drama,Diary of a City Priest,movie,2001,1
247,tt0208990,drama,La stanza del figlio,movie,2001,8
248,tt0210939,drama,Reaching Normal,movie,2001,6
249,tt0210362,drama,Tomorrow by Midnight,movie,2001,8
250,tt0211279,drama,Runners,movie,2001,7
251,tt0212827,drama,Bride of the Wind,movie,2002,1
252,tt0212910,drama,Delivering Milo,movie,2001,1
253,tt0213205,drama,Rustin,movie,2001,6
254,tt0212495,drama,La segunda noche,movie,2001,9
255,tt0212380,drama,Blow Dry,movie,2001,3
256,tt0213149,drama,Pearl Harbor,movie,2001,6
257,tt0214503,drama,Automatic,movie,X,
258,tt0212725,drama,L'accertamento,movie,2001,6
259,tt0215516,drama,Nobody's Baby,movie,2001,4
260,tt0215139,drama,Russian Doll,movie,2001,6
261,tt0215750,drama,Enemy at the Gates,movie,2001,3
262,tt0216994,drama,Random Acts,movie,X,
263,tt0217824,drama,Goodbye Charlie Bright,movie,2001,5
264,tt0217100,drama,Toutes les nuits,movie,2001,3
265,tt0219327,drama,Strictly Sinatra,movie,2001,11
266,tt0219822,drama,Human Nature,movie,2002,5
267,tt0217664,drama,Morning,movie,2001,4
268,tt0216982,drama,Prison Song,movie,2001,4
269,tt0218107,drama,Circuit,movie,2002,5
270,tt0219369,drama,Un ange,movie,2001,6
271,tt0218922,drama,Original Sin,movie,2001,11
272,tt0219687,drama,Flossin,movie,2001,9
273,tt0219957,drama,On the Borderline,movie,2001,10
274,tt0219876,drama,P.O.V.,movie,2002,1
275,tt0220580,drama,Intacto,movie,2003,8
276,tt0221559,drama,On the Edge,movie,2001,9
277,tt0221799,drama,An American Rhapsody,movie,2002,2
278,tt0221218,drama,The Glass House,movie,2001,9
279,tt0223832,drama,The Old Man Who Read Love Stories,movie,2001,11
280,tt0225071,drama,Angel Eyes,movie,2001,12
281,tt0222849,drama,Breathing Hard,movie,2001,5
282,tt0227005,drama,Made,movie,2001,11
283,tt0227194,drama,One 2 Ka 4,movie,2001,3
284,tt0228711,drama,The Perfect Nanny,movie,2001,3
285,tt0228902,drama,Storm in mijn hoofd,movie,2001,4
286,tt0229003,drama,New Port South,movie,2001,9
287,tt0228878,drama,Social Misfits,movie,X,
288,tt0229211,drama,America So Beautiful,movie,2003,4
289,tt0230025,drama,Bartleby,movie,2001,3
290,tt0230838,drama,Sweet November,movie,2001,5
291,tt0232015,drama,Lying in Wait,movie,2001,2
292,tt0232548,drama,17 rue Bleue,movie,2001,11
293,tt0233841,drama,Baran,movie,2002,3
