0,1
tt0370242,"['Reparto y equipo', 'Reseñas de usuarios', 'IMDbPro', 'Todos los temas', '32A', '2007', '1h 29min', 'PUNTUACIÓN EN IMDb', '6,5', '/10', '396', 'TU PUNTUACIÓN', 'Puntuar', 'Drama', 'Añade un argumento en tu idioma', 'This story is set in ""in-between"" time of a girl\'s life, when she is no longer a child and not yet a woman.', 'Dirección', 'Marian Quinn', 'Guión', 'Marian Quinn', 'Reparto principal', 'Ailish McCarthySophie Jo WassonOrla Long', 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento', '3', 'Reseñas de usuarios', '12', 'Reseñas de críticos']"
tt0371407,"['Reparto y equipo', 'Reseñas de usuarios', 'IMDbPro', 'Todos los temas', ""Beyond Baklava: The Fairy Tale Story of Sylvia's Baklava"", '2007', 'PG-13', '1h 36min', 'PUNTUACIÓN EN IMDb', '7,9', '/10', '45', 'TU PUNTUACIÓN', 'Puntuar', 'Reproducir clip2:41', ""Ver Beyond Baklava: The Fairy Tale Story of Sylvia's Baklava"", '1 VÍDEO', '7 IMÁGENES', 'Documental', 'Comedia', 'Drama', 'Añade un argumento en tu idioma', 'a fun, entertaining comedy with a message for peace in the world.', 'Dirección', 'Silvana Vienne', 'Guión', 'Silvana Vienne', 'Reparto principal', 'Sylvia RoussoPatricia NealMort Viner', 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento', '3', 'Reseñas de usuarios']"
tt0373263,"['Reparto y equipo', 'Preguntas frecuentes', 'IMDbPro', 'Todos los temas', 'Red Is the Color of', '2007', 'Unrated', '1h 27min', 'PUNTUACIÓN EN IMDb', '4,6', '/10', '265', 'TU PUNTUACIÓN', 'Puntuar', ' Reproducir trailer con sonido1:40', '1 VÍDEO', '5 IMÁGENES', 'Comedia', 'Drama', 'Romance', 'Añade un argumento en tu idioma', ""The tense marriage between two painters is shaken and stirred when the husband's provocative free-spirited nude model ignites his wife's sexual and spiritual awakening. In a three way game of subtle seduction, each of the three confront desires and frustrations that threaten to destroy the illusions of their lives."", 'Dirección', 'Anne Norda', 'Guión', 'Anne Norda', 'Reparto principal', 'Irina BjörklundPeter FranzénEliza Pryor Nagel', 'Ver la información de la producción en IMDbPro', 'STREAMING', 'Añade a mi lista de seguimiento', '2', 'Reseñas de críticos']"
tt0379976,"['Reparto y equipo', 'Reseñas de usuarios', 'Curiosidades', 'Preguntas frecuentes', 'IMDbPro', 'Todos los temas', 'Savage Grace', '2007', 'Not Rated', '1h 37min', 'PUNTUACIÓN EN IMDb', '5,7', '/10', '12 mil', 'TU PUNTUACIÓN', 'Puntuar', ' Reproducir trailer con sonido1:53', '1 VÍDEO', '33 IMÁGENES', 'Drama', 'Sigue el impactante caso de asesinato de Barbara Daly Baekeland, que ocurrió en un lujoso piso de Londres el viernes 17 de noviembre de 1972.', 'Dirección', 'Tom Kalin', 'Guión', 'Howard A. RodmanNatalie RobinsSteven M.L. Aronson', 'Reparto principal', 'Julianne MooreEddie RedmayneStephen Dillane', 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento', 'Añadido por 24,4 mil usuarios', '81', 'Reseñas de usuarios', '86', 'Reseñas de críticos', '51', 'Metapuntuación']"
tt0378345,"['Reparto y equipo', 'Reseñas de usuarios', 'IMDbPro', 'Todos los temas', 'Melech Shel Kabzanim', '2007', '1h 39min', 'PUNTUACIÓN EN IMDb', '5,0', '/10', '70', 'TU PUNTUACIÓN', 'Puntuar', 'Drama', 'Bélico', 'Añade un argumento en tu idioma', 'Fishke, a lame Jewish bath attendant, stands up against the on going persecutions and killings of Jews and forms the first Jewish platoon in Russia of the 16th century.', 'Dirección', 'Uri Paster', 'Guión', 'Uri PasterMendele Mocher Sforim', 'Reparto principal', 'Shahar SorekMosko AlkalaiAmos Lavi', 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento', '1', 'Reseña de usuario']"
tt0378848,"['Reparto y equipo', 'Reseñas de usuarios', 'Curiosidades', 'Preguntas frecuentes', 'IMDbPro', 'Todos los temas', 'Tali-Ihantala 1944', '2007', '1h 57min', 'PUNTUACIÓN EN IMDb', '5,8', '/10', '2 mil', 'TU PUNTUACIÓN', 'Puntuar', 'Drama', 'Historia', 'Bélico', 'Añade un argumento en tu idioma', 'In the summer of 1944, the Finnish Forces must defend Finland from the invading Soviet Red Army.', 'Dirección', 'Ake LindmanÅke LindmanSakari Kirjavainen', 'Guión', 'Stefan ForssBenedict ZilliacusEsko Salervo', 'Reparto principal', 'Rauno AhonenMikkomarkus AhtiainenFrank Biermann', 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento', 'Añadido por 1,5 mil usuarios', '18', 'Reseñas de usuarios', '6', 'Reseñas de críticos']"
tt0381704,"['Reparto y equipo', 'Reseñas de usuarios', 'IMDbPro', 'Todos los temas', 'Tijuana Makes Me Happy', '2007', 'PG-13', '1h 19min', 'PUNTUACIÓN EN IMDb', '6,1', '/10', '144', 'TU PUNTUACIÓN', 'Puntuar', 'Comedia', 'Drama', 'Romance', 'Añade un argumento en tu idioma', 'A boy will do anything to become a man and win the heart of a young sex worker - Even fight his rooster.', 'Dirección', 'Dylan Verrechia', 'Guión', 'Dylan VerrechiaJames LefkowitzPablo Tendilla Rocha', 'Reparto principal', 'Pablo Tendilla OrtizPablo Tendilla RochaAidée González', 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento', '3', 'Reseñas de usuarios']"
tt0381849,"['Reparto y equipo', 'Reseñas de usuarios', 'Curiosidades', 'Preguntas frecuentes', 'IMDbPro', 'Todos los temas', 'El tren de las 3:10', 'Título original: 3:10 to Yuma', '2007', '12', '2h 2min', 'PUNTUACIÓN EN IMDb', '7,6', '/10', '330 mil', 'TU PUNTUACIÓN', 'Puntuar', 'POPULARIDAD', '2314', '28', 'Reproducir trailer2:31', '1 VÍDEO', '99+ IMÁGENES', 'Acción', 'Crimen', 'Drama', 'Un ranchero de poca monta acepta retener a un forajido capturado que está esperando un tren para ir al juzgado de Yuma. Se produce una batalla de voluntades mientras el forajido intenta persuadir al ranchero.', 'Dirección', 'James Mangold', 'Guión', 'Halsted WellesMichael BrandtDerek Haas', 'Reparto principal', 'Russell CroweChristian BaleBen Foster', 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento', 'Añadido por 208 mil usuarios', '708', 'Reseñas de usuarios', '241', 'Reseñas de críticos', '76', 'Metapuntuación']"
tt0382036,"['Reparto y equipo', 'Curiosidades', 'IMDbPro', 'Todos los temas', ""For Pete's Wake!"", '2007', 'R', '1h 12min', 'PUNTUACIÓN EN IMDb', '6,5', '/10', '37', 'TU PUNTUACIÓN', 'Puntuar', 'Romance', 'Comedia', 'Drama', 'Añade un argumento en tu idioma', 'In this ensemble black comedy, family secrets are revealed at a memorial wake for an adulterous patriarch, when an uninvited guest shows up to blackmail his daughter.', 'Dirección', 'James AlarioRobin Atkin Downes', 'Guión', 'Sahag Gureghian', 'Reparto principal', 'Patricia TallmanJoy ClaussenErinn Koch', 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento']"
tt0383064,"['Reparto y equipo', 'Reseñas de usuarios', 'IMDbPro', 'Todos los temas', 'Dolina', '2007', '2h 2min', 'PUNTUACIÓN EN IMDb', '5,5', '/10', '115', 'TU PUNTUACIÓN', 'Puntuar', 'Drama', 'Añade un argumento en tu idioma', 'Gabriel Ventuza lives the peaceful life of a herbalist, growing and cultivating medical herbs in Italy. One day he receives an order from his older brother who is just out of prison for one day: Gabriel should go to the remote little town of Bogdanski Dolina in Far-Eastern Europe, the place of their childhood, and take out the mortal remains of their father, the late ... Leer todo', 'Dirección', 'Zoltán Kamondi', 'Guión', 'Ádám BodorZoltán KamondiLajos Parti Nagy', 'Reparto principal', 'Adriano GianniniPiroska MolnárStefania Rivi', 'Ver la información de la producción en IMDbPro', 'Añade a mi lista de seguimiento', '1', 'Reseña de usuario']"
