0,1,2,3,4,5
tt0398808,Gabor Csupo,"Jeff Stockwell, David Paterson, Katherine Paterson",7.2,1h 36min,
tt0399095,Marco Kreuzpaintner,"Jose Rivera, Peter Landesman",7.3,2h,
tt0401383,Julian Schnabel,"Ronald Harwood, Jean-Dominique Bauby",8.0,1h 52min,
tt0401997,Billy Ray,"Adam Mazer, Bill Rotko, Billy Ray",7.0,1h 50min,
tt0403057,Kevin Connolly,Adam 'Tex' Davis,6.0,1h 28min,Young man on the wrong track suddenly finds purpose and love when he captures a serial rapist.
tt0404034,Derrick Warfel,Derrick Warfel,6.0,PG-13,"While trapped in a Twilight Zonish high desert environment, a hunted rock musician is forced to confront his whole past life when an eccentric, prophet tells him his has one night left to live."
tt0405051,Galia Giménez,"Galia Giménez, Juan Manuel Marcos",,,Dirección
tt0405321,Tom Taddeo,Tom Taddeo,,,"The story centers on Luna, Dev, and Andino.... three eccentric characters that meet at a Christmas party and set off on a journey of lust, deceit, adventure, betrayal, and spiritual messages. Andino will do or say anything to get a reaction out of people. Yet, when he lays eyes on Luna, he can't seem to stay focused on his former mission of chaos and his little group ... Leer todo"
tt0408236,Tim Burton,"John Logan, Hugh Wheeler, Christopher Bond",7.3,1h 56min,
tt0408469,Laure Marsac,Laure Marsac,5.9,1h 10min,"Louise, in her thirties, is trying to learn to drive. Although she really wants to achieve it, Louise knows with everyday life and material, and therefore cars, the difficulties of a dreamer, never really adapted to the world around her."
tt0411061,Jon Avnet,Gary Scott Thompson,5.9,1h 48min,
tt0412519,Joe Knight,Joe Knight,7.0,1h 29min,"Successful as a real estate agent, Vince Gallagher leads a second life as a casual drug user and small time dealer, getting his supply from a friend. While most would be considered an addict living the way he does, Vince's rationale is that since he feels he can quit at anytime on his own will, he doesn't have a ""problem."" Some of the folks he deals to though, have re... Leer todo"
tt0415141,Tim Hamilton,Hank Nelken,5.1,1h 33min,A twenty-nine year-old slacker who lives with his mom realizes his sweet set-up is threatened when she hears wedding bells with her self-help guru beau.
tt0415965,Menno Meyjes,"Seth Bass, Jonathan Tolins, David Gerrold",6.7,1h 46min,"A science-fiction writer, recently widowed, considers whether to adopt a hyper-imaginative 6-year-old abandoned and socially rejected boy who says he's really from Mars."
tt0414454,Brandon Fraley,"Brandon Fraley, Jerry Katac",5.9,17min,"Isolated and surrounded by a desolate and forbidding landscape, the abandoned mill town should have been perfect. The plan was so simple. Afterward, he'd meet them here, divide up the loot, and they'd go their separate ways. But when they got there, things got complicated. There is no such thing as easy money. And it turns out the west is still wild."
tt0415483,Dan Frank,Johnny Metheny,8.1,1h 29min,"Four best friends, all bartenders, triumph through life's conflicts and pleasures."
tt0414055,Shekhar Kapur,"William Nicholson, Michael Hirst",6.8,1h 54min,
tt0416044,Sergei Bodrov,"Arif Aliev, Sergei Bodrov",7.2,2h 6min,
tt0415856,Deborah Kampmeier,Deborah Kampmeier,6.2,1h 38min,
tt0416185,Rod Lurie,"Michael Bortman, Allison Burnett, J.R. Moehringer",6.7,1h 52min,"Up-and-coming sports reporter rescues a homeless man (""Champ"") only to discover that he is, in fact, a boxing legend believed to have passed away. What begins as an opportunity to resurrect Champ's story and escape the shadow of his father's success becomes a personal journey as the ambitious reporter reexamines his own life and his relationship with his family."
tt0415127,Béla TarrÁgnes Hranitzky,"Georges Simenon, Béla Tarr, László Krasznahorkai",7.0,2h 19min,
tt0416263,Don Abernathy,"Don Abernathy, Lisa King",4.0,1h 28min,"A dramatic feature about an inner city girl's high school basketball team who, with the help of a dedicated coach struggle though personal issues to save their basketball program."
tt0416675,Shi-Zheng Chen,"Billy Shebar, Shi-Zheng Chen",6.0,1h 28min,"Based on actual events, a Chinese university student responds violently when his chances for a Nobel Prize are dashed by school politics."
tt0416508,Julian Jarrold,"Jane Austen, Kevin Hood, Sarah Williams",7.0,2h,
tt0416966,Phil Gallo,"Steve Bretschneider, Phil Gallo",8.5,1h 32min,"Mattie endures an uneventful life, until her grandfather leaves a videotaped will. According to his unorthodox theory, death is no barrier to their relationship and he promises to ""always be there"", triggering a series of hallucinations."
tt0417586,Peter Howitt,"Stuart Browne, Peter Howitt",6.4,1h 50min,"Noah Arkwright, a successful, hard living and indulgent independent British film director, finally decides to try and defeat the many addictions that are destroying him, his career and the people who care for him. But Mother Nature has other tests of strength and character in store for him."
tt0417694,Haskell Wexler,"Harry Bridges, Ian Ruskin",8.9,1h 22min,Dirección
tt0417875,Michael Kallio,"Michael Kallio, Oliver Theess",4.7,1h 26min,A father has one mission: Save the life of his little girl.
tt0418758,Laurent Boutonnat,"Laurent Boutonnat, Eugène Le Roy, Franck Moisnard",6.4,2h 20min,Jacquou is a determined and attractive young man who transforms his vow of vengeance into a struggle against injustice.
tt0419887,Marc Forster,"David Benioff, Khaled Hosseini",7.6,2h 8min,
tt0418586,Mary Stuart Masterson,Jayce Bartok,6.3,1h 26min,Two families are brought together by the return of one family's son -- a reunion that conjures up old ghosts and issues that must be addressed.
