0,1,2,3,4,5
tt0874271,Nathan Hope,"Nathan Hope, Jess Penner",5.3,1h 46min,"A teen girl disappears after trying to meet men online in order to escape her small town. Apparently, only her best friend worries enough to investigate the mystery."
tt0875031,Dan Neira,"Scott Muller, Jackie Watson, Larry Kurnarsky",6.6,2009,"""Touched"" is the dramatic depiction of one of the most fervent of human conditions - love. The story is an encompassment of the various perils and possibilities of this very sentiment which lays a precedent for forgiveness, acceptance, and transformation."
tt0875034,Rob Marshall,"Michael Tolkin, Anthony Minghella, Arthur Kopit",5.8,1h 58min,
tt0878804,John Lee Hancock,"John Lee Hancock, Michael Lewis",7.6,2h 9min,
tt0879403,Ferran Audí,Ferran AudíHenrik Ibsen,5.0,1h 43min,"A couple's marriage falls apart after the death of their son. Based on Henrik Ibsen's ""Little Eyolf""."
tt0880570,Franc. Reyes,Franc. Reyes,4.4,1h 29min,A NYPD detective attempts to avenge her father's death but unwittingly becomes involved with one of his murderers.
tt0882806,Cody Jarrett,Cody Jarrett,3.6,1h 26min,Sexy reporter Valerie March goes undercover inside Sugar State Woman's Prison to expose a prostitution ring run by the sleazy and seductive warden.
tt0882789,"David Morris, Jacqui Morris",David Morris,5.8,1h 35min,"Harry hates being a TV producer and dreams of leaving his job to travel the world. He loves Alex, an aspiring actor who is struggling to create an identity for himself as a performer. Rugby player William's nine-year-old daughter is intent on sabotaging his relationships with new boyfriends, and he's finding it difficult to let Lawrence, the soap star, into his life. ... Leer todo"
tt0884227,Hanelle M. Culpepper,Rebecca Sonnenshine,5.2,1h 35min,"Young Rachel has a terrifying secret. She can see evil spirits within others. After witnessing the brutal killing of her mother, she and her father move to a small town hoping to put the shattered pieces of their lives back together."
tt0886528,"Alex Justinger, Ben Robertson",,9.7,28min,"In a tribute to the era of German Expressionism, ""Rougge The Vampyre"" is the tale of a vampyre longing for his lost mortal feelings of love only to find jealousy."
tt0886539,Zoya Akhtar,"Zoya Akhtar, Javed Akhtar, Athar Nawaaz",7.1,2h 36min,"When Vikram gets tapped to play the male lead in a Bollywood film, he can't believe his luck. But it may ruin his relationship with his girlfriend."
tt0889146,Morgan Mead,"D.C. Hamilton, Andrew Janoch, Morgan Mead",6.2,1h 36min,"As a forty-something door-to-door book salesman, Jerry is used to having doors shut in his face. However, a chance meeting with Jordan, an engaging young punk rocker, opens the door into a new world."
tt0887966,Joe Otting,Denis Hamill,6.0,1h 40min,Sparks and bullets fly when a Wall Street yuppie must steer a Brooklyn mob crew legit before a beautiful FBI agent can build RICO indictments against them.
tt0887769,T. Hariharan,"M.T. Vasudevan Nair, Manisha Korde, Manoj Santoshi",7.7,3h 15min,"Kerala Varma Pazhassi Raja is a 2009 Malayalam historical drama film based on the life of Pazhassi Raja, a Hindu king who fought against the British in the 18th century."
tt0892060,Tommy Wood,"Neal Shannon Cruey, Tommy Wood",8.0,1h 27min,"In a small, sleepy Georgia town, Bobby Hicks rules the roost, until he is found grilled to death on his still-warm barbecue smoker. When the town's only lawyer informs a select group that Bobby has left over a quarter-million dollar inheritance to the last one of them left living, things take a turn for the worse. In the midst of the chaos, Bobby's niece Megan falls f... Leer todo"
tt0892392,Brent Huff,"Gary M. Lumpp, Vladimir Rajcic",3.1,1h 37min,"This action, thriller, is set in Belgrade, Chicago and Kosovo, chronicles the complicated relationship and reunion of estranged brothers, Alex and Peter and the forbidden love of a Serbian Soldier and a young Muslim woman. Alex believing his father to be at death's door and in need of a bone marrow transplant, ventures from Serbia to Chicago to find his brother Peter ... Leer todo"
tt0892767,Jonas Åkerlund,Dave Callaham,5.5,1h 30min,A recently widowed detective still grieving over his wife's death discovers a shocking connection between a serial killing spree and the Four Horsemen of the Apocalypse.
tt0893585,Romilla Mukherjee,Romilla Mukherjee,6.5,2h 20min,An elderly grandmother and others spy on a neighbor.
tt0896529,Ruba Nadda,Ruba Nadda,6.6,1h 30min,"A romantic drama about a brief, unexpected love affair that catches two people completely off-guard."
tt0896923,James Ivory,"Ruth Prawer Jhabvala, Peter Cameron",6.3,1h 57min,
tt0898367,John Hillcoat,"Joe Penhall, Cormac Mc, Carthy",7.2,1h 51min,
tt0899106,Brandon Camp,"Brandon Camp, Mike Thompson",5.7,1h 49min,
tt0901494,Buddy Giovinazzo,Buddy Giovinazzo,6.1,1h 39min,Various stories of how crack cocaine has infiltrated the inner-city streets.
tt0903606,"Vincent Scordia, Jeff Siegel","Jeff Siegel, Mark Rowland, Vincent Scordia",2.6,1h 35min,"In this over-the-top comedy, the relationships of three girls and fours guys - in affluent, adolescent suburban reality - intersect through the topsy-turvy world of love, power...and hooking up."
tt0902982,Aaron Woolfolk,Aaron Woolfolk,6.4,2h,
tt0906083,Srdjan Dragojevic,Dusan Kovacevic,6.4,2h,Dirección
tt0910555,Scott Sublett,Scott Sublett,4.5,1h 21min,"The writer can do anything he wants, right? Or maybe not...as Steven, a handsome young theater history professor discovers when he sets out to write a stage thriller - a plain, old generic thriller - only to discover that his characters prefer a character study - and want it to be a movie, not a play. At least Steven can create the man of his dreams, right? But that c... Leer todo"
tt0910905,Bertrand Tavernier,"Jerzy Kromolowski, Mary Olson-Kromolowski, James Lee Burke",6.1,1h 57min,
tt0913413,Todd Louiso,"Jacob Koskoff, Todd Louiso",4.0,1h 24min,"Former high school musical star, Marc Pease, finds himself still living in the past, eight years after graduating."
tt0913425,Pedro Almodóvar,Pedro Almodóvar,7.2,2h 7min,
tt0914373,Huck Melnick,Jeremy Herman,6.6,1h 32min,"A ""feinschmecker"" tries to seize his last chance of happiness with a beautiful street performer."
tt0914366,Stephen Leeds,Stephen Leeds,7.7,2009,Tommy is a beat-boxer looking to make a name for himself in the nightlife scene.
tt0914837,Malcolm Venville,"Louis Mellis, David Scinto",5.8,1h 35min,A jealous husband and his friends plot the kidnapping of his wife's lover with the intention of restoring his wounded ego.
tt0918529,J. Jesses Smith,"Charisse Edey, Cherie Johnson",3.2,1h 32min,"Vivian thought she had it all as she married the man of her dreams, but on her way to the honeymoon things went south: she was struck by a vehicle. She was in a coma for three years--plenty of time for her husband to move on to Jenny, the second woman he is about to marry. As he goes to take poor Viv the divorce papers after taking her off life-support 18 months ago, ... Leer todo"
tt0918541,Abigail Steinberg,"Terry Rossio, Jay Krishan, Amber Dawn Lee",8.3,2009,"Chrissy, the gum chewing hit woman has a dirty laundering job to finish. When things fall apart, and we find out she isn't who we thought, everyone must look for a sign from God, so that murder doesn't spoil the whites. When the sign happens everyone scrambles to determine if it's a sign from GOD or life on it's own terms."
tt0918579,Ayten Mutlu Saray,Ayten Mutlu Saray,5.8,2009,"A film about the state of people who are forced to live their exile as an outer event, but also as an inner destiny. That condition involves several time levels: a lost past, a disturbed present and a future rimmed with hope."
tt0918531,Camille Poisson,Camille Poisson,6.8,1h 36min,"Set in New England, five teenage girls living in a boarding school, discover a secretive practice. It is unexpectedly performed by a group of older nuns, and it affects the girls' belief system."
tt0918631,Daisy Gili,Ian Beck,5.1,12min,"A young girl flees to France to forget her boyfriend; first his letters pursue her, then he himself follows her there. During a party to celebrate the moon landing she takes her own small step..."
tt0924129,Wayne Kramer,Wayne Kramer,6.7,1h 53min,
tt0924468,Simon Ellis,"Brock Norman Brock, Michael Groom",4.3,1h 48min,"An aspiring journalist drops his inhibitions to research the UK's outdoor sex scene. He meets a certain girl in a car park, and the totally unexpected happens."
tt0926380,Scott Hicks,"Simon Carr, Allan Cubitt",6.8,1h 44min,
tt0928362,Erik Rodgers,"David Polcyn, Erik Rodgers",4.9,1h 24min,"A fugitive, wanted for helping the IRA in a bombing gone horribly wrong, is smuggled into the SF harbor. In order to hide here, and to lose all vestiges of his Irish past and disappear; into the new American identity. Sean soon finds himself at the mercy of one of his captors who is intent on using him in as series of hackneyed drug deals to make money. Sean searches ... Leer todo"
tt0929632,Lee Daniels,"Geoffrey Fletcher, Sapphire",7.3,1h 50min,
tt0933874,Juan Drago,Linda H. Weiss,5.8,1h 37min,"A young couple coming to terms with issues of trust and fidelity in the days leading up to their wedding. A peek inside the lives of a young, soon-to-be-married couple and their small circle of friends."
tt0939641,Mervyn Cumming,"Bill Rutledge, Frank Williams",8.2,15min,"When a man is found murdered along a cliff-top, a local family begin to suspect one another when they provide false alibis to the police."
tt0942381,Hassan Said,Hassan Said,6.7,19min,"Oliver, a retired single parent, comes home from the store to find his autistic daughter, Ana, brutally abused. Taking matters into his own hands, the father sets off on a hunt to reap his revenge."
tt0954544,Niki Caro,"Niki Caro, Elizabeth Knox, Joan Scheckel",5.6,2h 1min,"In 19th century France, a peasant winemaker endeavors to create the perfect vintage."
tt0955407,"Rob Fruchtman, Michael Sexton",Marin Gazzaniga,5.4,1h 12min,"Strangers in a waiting room become the characters in Claire's story of her turbulent marriage. Adapted from a stage play, SO CLOSE mixes documentary and narrative styles to present a provocative love story."
tt0955403,Paola Romagnani,Paola Romagnani,,,Dirección
tt0955381,Brooke Anderson,"Brooke Anderson, Dawn Higginbotham, Andrew Pinon",3.5,1h 29min,"Sex, drugs and suicidal tendencies... HAPPY NEW YEAR! This ensemble driven dramedy revolves around an eccentric New Years Eve Party, where the Party-Goers are oblivious to the true atmosphere of pain amid the celebration of ""life""."
tt0960097,Ellie Kanner,Lennox Wiseley,5.5,1h 37min,"When things get tough for Carys Reitman (Bijou Phillips), she does what any emotionally-isolated girl would do: she goes to strangers' funerals."
tt0959329,Chris Shadley,Patrick Wehe Mahoney,5.4,1h 26min,Nine strangers are kidnapped and forced to figure out the connection they have to each other as one has to die every ten minutes.
tt0960886,Melora Hardin,Gildart Jackson,6.5,1h 24min,A recent widower looks for the balance in raising his daughter on his own and keeping the image of his wife alive in his mind.
tt0962710,Matthew Bennett,Matthew Bennett,6.5,1h 30min,Percy Crease is in love with his brother's wife. Now he must win her heart before his brother tears his out.
tt0962736,Jean-Marc Vallée,Julian Fellowes,7.2,1h 45min,
tt0963160,Veronique Doumbe,"Sherry Mc, Guinn",,,A father on his second tour in Iraq. A mother trying to keep her children safe. A son on the brink of manhood. A daughter anticipating her tenth birthday. A party that will change their lives forever.
tt0963328,Asiel Norton,"Asiel Norton, Magdalena Zyzak",7.1,1h 45min,"As a family struggles to survive in rural isolation during the Great Depression, their daughter's secret affair begins a journey into the unknown."
tt0963178,Tom Tykwer,Eric Warren Singer,6.5,1h 58min,
tt0964185,Francis Ford Coppola,"Mauricio Kartun, Francis Ford Coppola",6.8,2h 7min,
tt0964179,Emily Dell,Emily Dell,3.9,1h 28min,A story about a female breakdancer overcoming a brutal attack to claim her place in the world of underground hip-hop.
tt0965375,Jeff Celentano,Vincent Campanella,4.8,1h 33min,A troubled lawyer takes on a high profile murder case that forces him to come to terms with his own past.
tt0971209,David Twohy,David Twohy,6.5,1h 38min,
tt0974011,Jon Cohen,Chloe Traicos,8.1,1h 35min,"3 girls, 3 immigrant families, 3 romances, 1 tennis final. Told by Helen, a 21 year old virgin being raised by her matchmaking Greek grandmother."
tt0973785,Blair Underwood,Chris Gutierrez,5.3,1h 45min,Centers on the rise and fall of four blue-collar men who team with a destitute prostitute to create a high-priced escort service.
tt0974014,Jon Amiel,"John Collee, Jon Amiel, Randal Keynes",6.6,1h 48min,
tt0973828,Clem Maloney,Clem Maloney,5.2,2009,An FBI agent's daughter is kidnapped by a mobster who suffers from multiple personality disorder - can the FBI agent unravel the maze of personas and worlds to save his daughter?
tt0974662,Michael Landon Jr.,"Margery Williams, Michael Landon Jr.Cindy Kelley",6.2,1h 37min,A lonely boy wins over his distant father and strict grandmother with help from a brave velveteen rabbit whose one wish is to become a real rabbit someday.
tt0973784,Hovhannes Galstyan,"Hovhannes Galstyan, Thomas Schlesinger, Marine Zakaryan",4.2,1h 33min,Dirección
tt0974661,Burr Steers,Jason Filardi,6.4,1h 42min,
tt0976040,Maxime Alexandre,"Maxime Alexandre, Philippa Goslett, M. Christine Vanden Eede",5.3,1h 40min,"Anthony's family runs a small Italian restaurant in London. When his childhood friend, Dario, dies in a suspicious accident, Anthony inherits a vineyard in Sant'Angelo, the village his parents came from in Italy. Surprised by the large sum of money offered to him by a curious Italian ""Master of Wine"" for the land he just inherited, and considering the mysterious circu... Leer todo"
tt0976246,"James De, Monaco","James De, Monaco",5.9,1h 36min,The lives of three residents of New York's Staten Island intersect as they struggle to get ahead.
tt0976222,Todd Graff,"Josh A. Cagan, Todd Graff",6.3,1h 51min,
tt0978762,Adam Elliot,Adam Elliot,8.1,1h 32min,
tt0981042,Jon Gunn,"Stephen J. Rivele, Michael Lachance, Karen Kingsbury",7.0,1h 40min,
tt0984227,Minos Papas,Minos Papas,5.3,1h 30min,"When shooting the dawn one morning, photographer Alex Santiago looks into the rising sun and hurts his eyes. As a result, he begins to see spots and blurs. When the spots become a face - an apparition of a woman - he embarks on a journey to discover who she is."
tt0986341,Sacchin Deo,"Dnyanesh Bhalekar, Sachin Dharekar, Guru Thakur",4.4,2h 24min,"It's all about living togather, a story of Maharashtrian joint familiy of Pune."
