,id,nombre,tipo,año
144,tt0174480,Autumn in New York,movie,2000
145,tt0174646,Just for the Time Being,movie,2000
146,tt0174245,Storm Damage,tvMovie,2000
147,tt0175143,Hangman,movie,2000
148,tt0176578,Building Bridges,movie,2000
149,tt0176783,Gossip,movie,2000
150,tt0177195,Sample People,movie,2000
151,tt0177971,The Perfect Storm,movie,2000
152,tt0177888,King of the Jungle,movie,2000
153,tt0178140,Det grovmaskiga nätet,tvMiniSeries,2000
154,tt0179137,Coronación,movie,2000
155,tt0177068,Once in the Life,movie,2000
156,tt0178050,Sunset Strip,movie,2000
157,tt0179473,"South of Heaven, West of Hell",movie,2000
158,tt0179861,Icebreaker,movie,2000
159,tt0179443,Rancid Aluminium,movie,2000
160,tt0180093,Requiem for a Dream,movie,2000
161,tt0180073,Quills,movie,2000
162,tt0179653,Astoria,movie,2000
163,tt0181311,Best,movie,2000
164,tt0181819,Födelsedagen,movie,2000
165,tt0181212,Don Quixote,tvMovie,2000
166,tt0180837,Bossa Nova,movie,2000
167,tt0181865,Traffic,movie,2000
168,tt0181945,A Piece of Eden,movie,2000
169,tt0183056,Esther Kahn,movie,2000
170,tt0183280,Intrepid,movie,2000
171,tt0183639,The Pavilion,movie,2000
172,tt0183659,Pollock,movie,2000
173,tt0180683,Everything's Jake,movie,2000
174,tt0181536,Finding Forrester,movie,2000
175,tt0183550,My Mother Frank,movie,2000
176,tt0182919,Murder with Too Many Notes,tvEpisode,2000
177,tt0183423,Love Beat the Hell Outta Me,movie,2000
178,tt0182508,Urbania,movie,2000
179,tt0181875,Almost Famous,movie,2000
180,tt0181984,Boiler Room,movie,2000
181,tt0183808,Spanish Judges,movie,2000
182,tt0184056,Les yeux brouillés,movie,2000
183,tt0183946,Undertaker's Paradise,movie,2000
184,tt0184858,Reindeer Games,movie,2000
185,tt0185278,Diaries of Darkness,movie,2000
186,tt0185651,Run the Wild Fields,tvMovie,2000
187,tt0185542,New Year's Day,movie,2000
188,tt0185215,Toreros,movie,2000
189,tt0186221,A House by the Sea,movie,2000
190,tt0186183,The Guilty,movie,2000
191,tt0187880,Highway Society,movie,2000
192,tt0186151,Frequency,movie,2000
193,tt0187393,The Patriot,movie,2000
194,tt0187387,Living the Life,movie,2000
195,tt0186975,Down to You,movie,2000
196,tt0185014,Wonder Boys,movie,2000
197,tt0187761,Brooklyn Sonnet,movie,2000
198,tt0187474,Saint-Cyr,movie,2000
199,tt0186719,The Young Unknowns,movie,2000
200,tt0186549,The Simian Line,movie,2000
201,tt0186894,Bounce,movie,2000
202,tt0186454,Point Doom,movie,2000
203,tt0186771,The Potato Factory,tvMiniSeries,2000
204,tt0187847,Fear of Fiction,movie,2000
205,tt0188160,Price of Glory,movie,2000
206,tt0188189,Safe Journey,short,2000
207,tt0188135,Pelon maantiede,movie,2000
208,tt0188518,Complicity,movie,2000
209,tt0188398,Aliendog: Life as it is,movie,2000
210,tt0188613,Les fantômes des Trois Madeleine,movie,2000
211,tt0188350,Det nya landet,tvMovie,2000
212,tt0188490,Catalina Trust,movie,2000
213,tt0188688,Insatiable Wives,movie,2000
214,tt0189509,Estorvo,movie,2000
215,tt0190052,Surrender,movie,2000
216,tt0190994,Bad Faith,movie,2000
217,tt0190524,Left Behind,movie,2000
218,tt0189998,Shadow of the Vampire,movie,2000
219,tt0190332,Wo hu cang long,movie,2000
220,tt0190861,Vatel,movie,2000
221,tt0191754,28 Days,movie,2000
222,tt0192694,Traumschiff 2000 - Bali,tvEpisode,2000
223,tt0192614,The Skulls,movie,2000
224,tt0190865,Vertical Limit,movie,2000
225,tt0192346,Senke uspomena,movie,2000
226,tt0189960,A Raiz do Coração,movie,2000
227,tt0192295,Marlene,movie,2000
228,tt0190736,Sand,movie,2000
229,tt0191037,Circus,movie,2000
230,tt0191191,Hot Boyz,video,2000
231,tt0192180,Jim's Camera,movie,2000
232,tt0191636,La veuve de Saint-Pierre,movie,2000
233,tt0191915,Cord,video,2000
234,tt0192263,Longitude,tvMovie,2000
235,tt0192719,No Alibi,movie,2000
236,tt0190281,Britannic,tvMovie,2000
237,tt0190346,The Dancer,movie,2000
238,tt0192949,Stardom,movie,2000
239,tt0191352,Peixe-Lua,movie,2000
240,tt0191782,Among Others,short,2000
241,tt0191865,La carbonara,movie,2000
242,tt0192678,Tierra del fuego,movie,2000
243,tt0193741,Badding,movie,2000
244,tt0193854,A Shot at Glory,movie,2000
245,tt0194027,"Hylätyt talot, autiot pihat",movie,2000
246,tt0193732,Missing Pieces,tvMovie,2000
247,tt0194319,Ruben,short,2000
248,tt0194218,Panic,movie,2000
249,tt0194608,Edderkoppen,tvMiniSeries,2000
250,tt0195001,Kanak Attack,movie,2000
251,tt0195860,Knockout,movie,2000
252,tt0195857,Kin,movie,2000
253,tt0194852,Un amor de Borges,movie,2000
254,tt0195352,Total Loss,movie,2000
255,tt0195165,Possessed,tvMovie,2000
256,tt0196223,The Right Temptation,movie,2000
257,tt0195944,Newsbreak,movie,2000
258,tt0195685,Erin Brockovich,movie,2000
259,tt0196267,Cruel Intentions 2,video,2000
260,tt0195655,La donna falco,movie,2000
261,tt0195778,Here on Earth,movie,2000
262,tt0195631,Alone with a Stranger,movie,2000
263,tt0195979,O Pedido de Emprego,short,2000
264,tt0196219,The Wrecking Crew,movie,2000
265,tt0197311,Boesman and Lena,movie,2000
266,tt0197072,Under Pressure,movie,2000
267,tt0197384,Crime + Punishment in Suburbia,movie,2000
268,tt0197402,Detektor,movie,2000
269,tt0196723,Forever Lulu,movie,2000
270,tt0197644,Loveblind,movie,2000
271,tt0197646,Lush,movie,2000
272,tt0197740,L'ombra del gigante,movie,2000
273,tt0197826,Les ritaliens,tvMovie,2000
274,tt0196708,Lockdown,movie,2000
275,tt0197096,What's Cooking?,movie,2000
276,tt0197753,Partners in Crime,movie,2000
277,tt0197154,Gormenghast,tvMiniSeries,2000
278,tt0197655,Mail to the Chief,tvEpisode,2000
279,tt0197299,Black Sea Raid,movie,2000
280,tt0197104,Wings of the Crow,movie,2000
281,tt0198021,Where the Heart Is,movie,2000
282,tt0198320,Baby Luv,movie,2000
283,tt0198284,After Sex,movie,2000
284,tt0198893,Passion's Desire,movie,2000
285,tt0199000,Gripsholm,movie,2000
286,tt0198654,Lijmen/Het been,movie,2000
287,tt0199129,The Visit,movie,2000
288,tt0199398,Il cane di terracotta,tvEpisode,2000
289,tt0199077,Preferisco il rumore del mare,movie,2000
290,tt0199650,Jill Rips,movie,2000
291,tt0200427,Diamond Men,movie,2000
292,tt0200063,Küsse und Bisse,tvEpisode,2000
293,tt0200530,Chuck & Buck,movie,2000
294,tt0199725,Love & Basketball,movie,2000
295,tt0199748,Manhattan Chase,movie,2000
296,tt0199974,The Prophet's Game,movie,2000
297,tt0199536,La forma dell'acqua,tvEpisode,2000
298,tt0200171,Stanley's Gig,movie,2000
299,tt0200192,Tra(sgre)dire,movie,2000
300,tt0199744,Mambo Café,movie,2000
301,tt0199696,Kuningas Hidas,movie,2000
302,tt0200472,Beautiful Joe,movie,2000
303,tt0200299,Bad Luck Love,movie,2000
304,tt0199700,Lakeuden kutsu,movie,2000
305,tt0200550,Coyote Ugly,movie,2000
306,tt0199925,Pako punaisten päämajasta,tvMovie,2000
307,tt0199504,The Exchange,movie,2000
308,tt0200668,Going Home,tvMovie,2000
309,tt0201776,Rated X,tvMovie,2000
310,tt0200656,Geppetto,tvEpisode,2000
311,tt0201726,The Last Producer,movie,2000
312,tt0202592,Soul Cages,short,2000
313,tt0201737,Lost in the Pershing Point Hotel,movie,2000
314,tt0200992,Trapped in a Purple Haze,tvMovie,2000
315,tt0200720,The House of Mirth,movie,2000
316,tt0201275,True Rights,movie,2000
