0,1,2,3,4,5
tt0160547,"A series of mishaps and misfortunes over $1 million in cash leads to murder, mayhem and greed.","4,9/10",1h 32min,['Michael Browning'],['Michael Browning']
tt0160663,Four teenagers pull a prank that goes awry.,"5,5/10",1h 28min,[],[]
tt0160289,"Four friends steal a valuable statuette for a dangerous black market art dealer, lose it, and are forced to play a deadly bluffing game to save their lives.","5,5/10",1h 37min,[],[]
tt0161216,"Cinco años después de que Abbie Hoffman pasa a la clandestinidad para evitar una sentencia de prisión, se pone en contacto con un reportero para conocer la historia del espionaje encubierto, el acoso y la incitación a la violencia del FBI.","6,3/10",1h 46min,[],[]
tt0160484,"Un profesor católico conoce a un periodista ateo, a quien un grupo de católicos y sacerdotes cree que ha sido elegido por el diablo para ser el Anticristo.","4,8/10",1h 37min,[],[]
tt0160751,"A once devoted family man, who has fallen into the depths of alcoholism and homelessness after a tragic accident took the life of a daughter, longs for the day that he may somehow reunite with his only living daughter.","7,8/10",1h 45min,['Carl Kress'],['Steve Withem']
tt0161003,What started out as an innocent night of fun and games with upperclassmen and younger freshman college women turns into lies betrayal and an ultimate journey on the train ride,"5,1/10",1h 33min,['Rel Dowdell'],['Rel Dowdell']
tt0162222,Un ejecutivo de FedEx debe transformarse física y emocionalmente para sobrevivir a un aterrizaje forzoso en una isla desierta.,"7,8/10",2h 23min,[],[]
tt0162983,"Un trío de hermanas se une por su ambivalencia hacia la muerte inminente de su padre, a quien ninguna de ellas era particularmente cercana.","4,8/10",1h 34min,[],[]
tt0162901,"Mario lleva muchos años trabajando en Marruecos. Ahora tiene la oportunidad de volver a España gracias a una oferta laboral. Sólo le queda hacer un último favor a Víctor, su jefe. Deberá cuidar de Laura, bella joven e hija de Víctor, en unas vacaciones que pasará en Marruecos...","5,8/10",1h 35min,['Mariano Barroso'],"['Mariano Barroso', 'Luis Marías', 'Joaquín Notario']"
tt0164212,Un adinerado abogado es llamado a testificar sobre el cuerpo de una niña de 12 años encontrado en el parque.,"6,4/10",1h 50min,[],[]
tt0163676,"A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader, who harbors some dark secrets too terrifying to tell.","4,6/10",1h 45min,[],[]
tt0163745,A young man struggles with his desire to study art when his family thinks he's headed for premedical studies. Conflicts between Filipino traditions and expectations vs. personal dreams in the contemporary world erupt at his sister's debut.,"6,4/10",1h 34min,[],[]
