0,1
tt0190374,"['Sophia Lillis', 'Chris Pine', 'Daisy Head', 'Michelle Rodriguez', 'Regé-Jean Page', 'Chloe Coleman', 'Justice Smith', 'Hugh Grant', '', '']"
tt0190524,"['Nicolas Cage', 'Chad Michael Murray', 'Cassi Thomson', 'Nicky Whelan', 'Lea Thompson', 'J. Travis Merendino', 'Jay Amor', 'Jordin Sparks', '', '']"
tt0190332,"['Michelle Yeoh', 'Zhang Ziyi', 'Chow Yun-Fat', 'Chang Chen', 'Cheng Pei-pei', 'Xian Gao', 'Fazeng Li', 'Sihung Lung', '', '']"
tt0192614,"['Paul Walker', 'Joshua Jackson', 'Leslie Bibb', 'Hill Harper', 'Christopher McDonald', 'Dominic Kahn', 'Connie Buell', 'William Petersen', '', '']"
tt0190865,"[""Chris O'Donnell"", 'Robin Tunney', 'Bill Paxton', 'Izabella Scorupco', 'Scott Glenn', 'Nicholas Lea', 'Ben Mendelsohn', 'Temuera Morrison', '', '']"
tt0196614,"['Vladimir Dikanski', 'Gouram Avetian', 'Mikael Nyqvist', 'Inga Lüning', 'Therese Grankvist', 'Mike Beck', 'Brasse Brännström', 'Robert Jelinek', '', '']"
tt0196219,"['Dean Martin', 'Sharon Tate', 'Elke Sommer', 'Tina Louise', 'Nancy Kwan', 'Nigel Green', 'John Larch', 'Chuck Norris', '', '']"
tt0197951,"['Cynthia Rothrock', 'Jalal Merhi', 'Loren Avedon', 'Carter Wong', 'Bolo Yeung', 'Gary Foo', 'Russell Peters', 'Mike Chow', '', '']"
tt0199753,"['Val Kilmer', 'Carrie-Anne Moss', 'Tom Sizemore', 'Jessica Morton', 'Simon Baker', 'Caroline Bossi', 'Benjamin Bratt', 'Terence Stamp', '', '']"
tt0202314,"['Terry Farrell', 'Wil Wheaton', 'Craig Sheffer', 'Harry Van Gorkum', 'Bruce McGill', 'Ron Yuan', 'James Russo', 'Donald Li', '', '']"
tt0202677,"['Benicio del Toro', 'Ryan Phillippe', 'James Caan', 'Juliette Lewis', 'Geoffrey Lewis', 'Taye Diggs', 'Scott Wilson', 'Dylan Kussman', '', '']"
tt0207377,"['Michael Jai White', 'Max Ryan', 'Steve Austin', 'Allen Yates', 'Ian Short', 'JoAnna Pallante', 'Bo Roberts', 'John W. Lawson', '', '']"
tt0208988,"['Sylvester Stallone', 'Michael Caine', 'Mickey Rourke', 'Stephen Kay', 'Rachael Leigh Cook', 'Miranda Richardson', 'John C. McGinley', 'Rhona Mitra', '', '']"
tt0207631,"['Rutger Hauer', 'Julia Ormond', 'Tchéky Karyo', 'F. Murray Abraham', 'Amanda Plummer', 'Assumpta Serna', 'Anthony Higgins', 'Diana Quick', '', '']"
tt0208037,"['Antonio Sabato Jr.', 'Fred Ward', 'Sean Kanan', 'Kelly Rutherford', 'R. Lee Ermey', 'Susie Park', 'Curt Cornelius', 'John Jabaley', '', '']"
tt0207501,"['Kevin Costner', 'Melissa Sagemiller', 'Ashton Kutcher', 'Neal McDonough', 'Bonnie Bramlett', 'Brian Geraghty', 'Sela Ward', 'Shelby Fenner', '', '']"
tt0208003,"['Nia Long', 'Jascha Washington', 'Paul Giamatti', 'Ella Mitchell', 'Terrence Howard', 'Tichina Arnold', 'Ramsey Luke', 'Cedric the Entertainer', '', '']"
tt0212346,"['Sandra Bullock', 'Benjamin Bratt', 'Heather Burns', 'William Shatner', 'Michael Caine', 'Candice Bergen', 'Ernie Hudson', 'John DiResta', '', '']"
tt0211938,"['Simon Shepherd', 'Georgia Ellery', 'Tristan Sturrock', 'Mary Woodvine', 'Edward Rowe', 'Mae Voogd', 'Chloe Endean', 'Kate Byers', '', '']"
tt0212879,"['Lloyd Kaufman', 'Paul Kyrmse', 'Joe Fleishaker', 'David Mattey', 'Trent Haaga', 'Heidi Sjursen', 'Michael Budinger', 'Lisa Terezakis', '', '']"
tt0214638,"['Rhona Mitra', 'Lee-Anne Liebenberg', 'Malcolm McDowell', 'Bob Hoskins', 'Benedict Carver', 'Craig Conway', 'MyAnna Buring', 'Paul Hyett', '', '']"
tt0214871,"['Dolph Lundgren', 'Rebecca Cross', 'Joe Michael Burke', 'Sherri Alexander', 'Angelique Lettich', 'Juliano Mer-Khamis', 'Gilya Stern', 'Ishai Golan', '', '']"
tt0215715,"['Marcello Antony', 'Barbara Schulz', 'Herson Capri', 'Milton Gonçalves', 'Jean-Louis Tribes', 'Paulo Vespúcio', 'Oscar Magrini', 'Miwa Yanagizawa', '', '']"
tt0216216,"['Arnold Schwarzenegger', 'Tony Goldwyn', 'Sarah Wynter', 'Taylor Anne Reid', 'Terry Crews', 'Michael Rooker', 'Rodney Rowland', 'Michael Rapaport', '', '']"
tt0216772,"['Jason Statham', 'Pras', 'Ja Rule', 'Patricia Velásquez', 'Faith Evans', 'Chris Messina', 'Melyssa Ford', 'Wyclef Jean', '', '']"
tt0217654,"['Dean Cain', 'Jennifer Beals', 'Frederic Forrest', 'Stacy Keach', 'Brett Butler', 'James C. Victor', 'John Beck', 'Christopher Maleki', '', '']"
tt0218080,"['Dolph Lundgren', 'Meilani Paul', 'Randolph Mantooth', 'Neal Matarazzo', 'Tony Becker', 'Steve Eastin', 'Natalie Radford', 'Allan Kolman', '', '']"
